# Region type : patch inlet
# Faces       : 10
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.37          	(1.264013e-04 1.750517e-11 0.000000e+00)
0.375         	(1.265752e-04 1.853905e-11 0.000000e+00)
0.38          	(1.267411e-04 1.887717e-11 0.000000e+00)
0.385         	(1.268992e-04 1.988499e-11 0.000000e+00)
0.39          	(1.270501e-04 1.763799e-11 0.000000e+00)
0.395         	(1.271938e-04 1.722091e-11 0.000000e+00)
0.4           	(1.273309e-04 1.656212e-11 0.000000e+00)
0.405         	(1.274616e-04 1.697143e-11 0.000000e+00)
0.41          	(1.275861e-04 1.465498e-11 0.000000e+00)
0.415         	(1.277049e-04 1.500958e-11 0.000000e+00)
0.42          	(1.278182e-04 1.579837e-11 0.000000e+00)
0.425         	(1.279257e-04 1.670951e-11 0.000000e+00)
0.43          	(1.280283e-04 1.872306e-11 0.000000e+00)
0.435         	(1.281261e-04 2.141143e-11 0.000000e+00)
0.44          	(1.282192e-04 2.556289e-11 0.000000e+00)
0.445         	(1.283082e-04 2.557955e-11 0.000000e+00)
0.45          	(1.283930e-04 2.671479e-11 0.000000e+00)
0.455         	(1.284737e-04 2.818850e-11 0.000000e+00)
0.46          	(1.285508e-04 2.805107e-11 0.000000e+00)
0.465         	(1.286243e-04 2.828996e-11 0.000000e+00)
0.47          	(1.286944e-04 2.671701e-11 0.000000e+00)
0.475         	(1.287612e-04 2.744102e-11 0.000000e+00)
0.48          	(1.288250e-04 2.762681e-11 0.000000e+00)
0.485         	(1.288857e-04 2.954080e-11 0.000000e+00)
0.49          	(1.289437e-04 2.628122e-11 0.000000e+00)
0.495         	(1.289990e-04 2.650772e-11 0.000000e+00)
0.5           	(1.290517e-04 2.767524e-11 0.000000e+00)
